country_name,subregion1_name,Total_Confirmed,Total_Deaths,Total_Recovered
United States of America,,7833851,215199,
Malaysia,Kelantan,156,15,
Malaysia,Malacca,255,37,
Malaysia,Negeri Sembilan,994,72,
Malaysia,Pahang,365,27,
Malaysia,Penang,121,13,
Malaysia,Perak,258,30,
Malaysia,Perlis,18,4,
Malaysia,Selangor,2006,75,
Malaysia,Terengganu,111,18,
Malaysia,Sabah,362,25,
Malaysia,Sarawak,565,32,
Malaysia,Kuala Lumpur,2422,271,
Malaysia,Labuan,17,5,
Malaysia,Putrajaya,119,13,
Mozambique,,10537,73,
Mozambique,Niassa Province,233,0,147
Mozambique,Manica Province,109,2,97
Mozambique,Gaza Province,345,2,309
Mozambique,Inhambane Province,236,1,219
